1, 100
2, 100
3, 59
4, 92
5, 100
6, 81
7, 91
8, 92
9, 98
10, 100
11, 85
12, 79
13, 82
14, 83
15, 57
16, 100
17, 97
18, 83
19, 72
20, 69
21, 99
22, 90
23, 72
24, 84
25, 95
26, 63
27, 95
28, 84
29, 93
30, 100
31, 80
32, 92
33, 45
34, 40
35, 69
36, 62
37, 89
38, 90
39, 78
40, 97
41, 85
42, 93
43, 89
44, 86
45, 64
46, 83
47, 60
48, 37
49, 98
50, 59
51, 81
52, 90
53, 85
54, 78
55, 57
56, 84
57, 96
58, 96
59, 87
60, 66
61, 92
62, 69
63, 81
64, 85
65, 59
66, 65
67, 54
68, 85
69, 98
70, 97
71, 86
72, 96
73, 84
74, 90
75, 85
76, 80
77, 63
78, 54
79, 75
80, 23
81, 96
82, 95
83, 83
84, 70
85, 100
86, 86
87, 77
88, 58
89, 74
90, 70
91, 43
92, 41
93, 94
94, 75
95, 74
96, 42
97, 92
98, 85
99, 73
100, 80
